"Date(UTC)","UnixTimeStamp","Value"
"6/25/2024","1719273600","12181"
"6/26/2024","1719360000","43200"
"6/27/2024","1719446400","43200"
"6/28/2024","1719532800","43200"
"6/29/2024","1719619200","43200"
"6/30/2024","1719705600","43200"
"7/1/2024","1719792000","43200"
"7/2/2024","1719878400","43200"
"7/3/2024","1719964800","43200"
"7/4/2024","1720051200","43200"
"7/5/2024","1720137600","43200"
"7/6/2024","1720224000","43200"
"7/7/2024","1720310400","43200"
"7/8/2024","1720396800","43200"
"7/9/2024","1720483200","43200"
"7/10/2024","1720569600","43200"
"7/11/2024","1720656000","43200"
"7/12/2024","1720742400","43200"
"7/13/2024","1720828800","43200"
"7/14/2024","1720915200","43200"
"7/15/2024","1721001600","43200"
"7/16/2024","1721088000","43200"
"7/17/2024","1721174400","43200"
"7/18/2024","1721260800","43200"
"7/19/2024","1721347200","43200"
"7/20/2024","1721433600","43200"
"7/21/2024","1721520000","43200"
"7/22/2024","1721606400","43200"
"7/23/2024","1721692800","43200"
"7/24/2024","1721779200","43200"
"7/25/2024","1721865600","43200"
"7/26/2024","1721952000","43200"
"7/27/2024","1722038400","43200"
"7/28/2024","1722124800","43200"
"7/29/2024","1722211200","43200"
"7/30/2024","1722297600","43200"
"7/31/2024","1722384000","43200"
"8/1/2024","1722470400","43200"
"8/2/2024","1722556800","43200"
"8/3/2024","1722643200","43200"
"8/4/2024","1722729600","43200"
"8/5/2024","1722816000","43200"
"8/6/2024","1722902400","43200"
"8/7/2024","1722988800","43200"
"8/8/2024","1723075200","43200"
"8/9/2024","1723161600","43200"
"8/10/2024","1723248000","43200"
"8/11/2024","1723334400","43200"
"8/12/2024","1723420800","43200"
"8/13/2024","1723507200","43200"
"8/14/2024","1723593600","43200"
"8/15/2024","1723680000","43200"
"8/16/2024","1723766400","43200"
"8/17/2024","1723852800","43200"
"8/18/2024","1723939200","43200"
"8/19/2024","1724025600","43200"
"8/20/2024","1724112000","43200"
"8/21/2024","1724198400","43200"
"8/22/2024","1724284800","43200"
"8/23/2024","1724371200","43200"
"8/24/2024","1724457600","43200"
"8/25/2024","1724544000","43200"
"8/26/2024","1724630400","43200"
"8/27/2024","1724716800","43200"
"8/28/2024","1724803200","43200"
"8/29/2024","1724889600","43200"
"8/30/2024","1724976000","43200"
"8/31/2024","1725062400","43200"
"9/1/2024","1725148800","43200"
"9/2/2024","1725235200","43200"
"9/3/2024","1725321600","43200"
"9/4/2024","1725408000","43200"
"9/5/2024","1725494400","43200"
"9/6/2024","1725580800","43200"
"9/7/2024","1725667200","43200"
"9/8/2024","1725753600","43200"
"9/9/2024","1725840000","43200"
"9/10/2024","1725926400","43200"
"9/11/2024","1726012800","43200"
"9/12/2024","1726099200","43200"
"9/13/2024","1726185600","43200"
"9/14/2024","1726272000","43200"
"9/15/2024","1726358400","43200"
"9/16/2024","1726444800","43200"
"9/17/2024","1726531200","43200"
"9/18/2024","1726617600","43200"
"9/19/2024","1726704000","43200"
"9/20/2024","1726790400","43200"
"9/21/2024","1726876800","43200"
"9/22/2024","1726963200","43200"
"9/23/2024","1727049600","43200"
"9/24/2024","1727136000","43200"
"9/25/2024","1727222400","43200"
"9/26/2024","1727308800","43200"
"9/27/2024","1727395200","43200"
"9/28/2024","1727481600","43200"
"9/29/2024","1727568000","43200"
"9/30/2024","1727654400","43200"
"10/1/2024","1727740800","43200"
"10/2/2024","1727827200","43200"
"10/3/2024","1727913600","43200"
"10/4/2024","1728000000","43200"
"10/5/2024","1728086400","43200"
"10/6/2024","1728172800","43200"
"10/7/2024","1728259200","43200"
"10/8/2024","1728345600","43200"
"10/9/2024","1728432000","43200"
"10/10/2024","1728518400","43200"
"10/11/2024","1728604800","43200"
"10/12/2024","1728691200","43200"
"10/13/2024","1728777600","43200"
"10/14/2024","1728864000","43200"
"10/15/2024","1728950400","43200"
"10/16/2024","1729036800","43200"
"10/17/2024","1729123200","43200"
"10/18/2024","1729209600","43200"
"10/19/2024","1729296000","43200"
"10/20/2024","1729382400","43200"
"10/21/2024","1729468800","43200"
